,precision,recall,f1-score,support
139,0.5833333333333334,0.2828282828282828,0.38095238095238093,99.0
140,0.7948717948717948,0.9393939393939394,0.8611111111111112,99.0
141,0.07142857142857142,0.010101010101010102,0.017699115044247787,99.0
142,0.11392405063291139,0.09090909090909091,0.10112359550561797,99.0
143,0.76,0.1919191919191919,0.3064516129032258,99.0
144,0.38461538461538464,0.35353535353535354,0.3684210526315789,99.0
145,0.8541666666666666,0.8282828282828283,0.841025641025641,99.0
146,0.12,0.09090909090909091,0.10344827586206896,99.0
147,0.5128205128205128,0.20202020202020202,0.2898550724637681,99.0
148,0.75,0.21212121212121213,0.33070866141732286,99.0
149,0.5,0.010101010101010102,0.019801980198019802,99.0
150,0.0,0.0,0.0,99.0
151,0.9066666666666666,0.6868686868686869,0.7816091954022989,99.0
152,0.0,0.0,0.0,99.0
153,0.0,0.0,0.0,99.0
154,1.0,0.0707070707070707,0.1320754716981132,99.0
155,0.4117647058823529,0.0707070707070707,0.1206896551724138,99.0
156,0.02564102564102564,0.010101010101010102,0.014492753623188406,99.0
157,0.6428571428571429,0.2727272727272727,0.3829787234042553,99.0
158,0.8163265306122449,0.40404040404040403,0.5405405405405406,99.0
159,0.14285714285714285,0.06060606060606061,0.0851063829787234,99.0
160,0.21153846153846154,0.4444444444444444,0.28664495114006516,99.0
161,0.6413793103448275,0.9393939393939394,0.7622950819672131,99.0
162,0.2247191011235955,0.40404040404040403,0.2888086642599278,99.0
163,0.35398230088495575,0.40404040404040403,0.37735849056603776,99.0
164,0.5882352941176471,0.40404040404040403,0.47904191616766467,99.0
165,0.95,0.1919191919191919,0.31932773109243695,99.0
166,0.7142857142857143,0.30303030303030304,0.425531914893617,99.0
167,0.057692307692307696,0.09090909090909091,0.07058823529411765,99.0
168,0.5657894736842105,0.8686868686868687,0.6852589641434262,99.0
169,0.2398753894080997,0.7777777777777778,0.36666666666666664,99.0
170,0.6037735849056604,0.6464646464646465,0.624390243902439,99.0
171,0.09090909090909091,0.020202020202020204,0.03305785123966942,99.0
172,0.12574850299401197,0.21212121212121213,0.15789473684210525,99.0
173,0.3764705882352941,0.9696969696969697,0.5423728813559322,99.0
174,0.6666666666666666,0.10101010101010101,0.17543859649122806,99.0
175,0.7894736842105263,0.30303030303030304,0.43795620437956206,99.0
176,0.48314606741573035,0.43434343434343436,0.4574468085106383,99.0
177,0.3089430894308943,0.3838383838383838,0.34234234234234234,99.0
178,0.9090909090909091,0.7070707070707071,0.7954545454545454,99.0
179,0.8070175438596491,0.9292929292929293,0.863849765258216,99.0
180,0.9824561403508771,0.5656565656565656,0.717948717948718,99.0
181,0.863013698630137,0.6363636363636364,0.7325581395348837,99.0
182,0.5662650602409639,0.9494949494949495,0.7094339622641509,99.0
183,0.845360824742268,0.8282828282828283,0.8367346938775511,99.0
184,0.609375,0.3939393939393939,0.4785276073619632,99.0
185,0.13541666666666666,0.13131313131313133,0.13333333333333333,99.0
186,0.7654320987654321,0.6262626262626263,0.6888888888888889,99.0
187,0.3684210526315789,0.2828282828282828,0.32,99.0
188,0.9264705882352942,0.6363636363636364,0.7544910179640718,99.0
189,0.7361111111111112,0.5353535353535354,0.6198830409356725,99.0
190,0.5,0.5252525252525253,0.5123152709359606,99.0
191,0.009900990099009901,0.010101010101010102,0.01,99.0
192,1.0,0.0707070707070707,0.1320754716981132,99.0
193,0.2767857142857143,0.6262626262626263,0.38390092879256965,99.0
194,0.2033898305084746,0.24242424242424243,0.22119815668202766,99.0
195,0.07792207792207792,0.06060606060606061,0.06818181818181818,99.0
196,0.3611111111111111,0.13131313131313133,0.1925925925925926,99.0
197,0.21656050955414013,0.3434343434343434,0.265625,99.0
