epoch,learning_rate,loss,triplet_semihard_loss_vectorized,val_loss,val_triplet_semihard_loss_vectorized
0,9.999999747378752e-05,0.189665287733078,0.189665287733078,0.1804467737674713,0.18039193749427795
1,9.999999747378752e-05,0.18444214761257172,0.18444214761257172,0.1779557317495346,0.1781758815050125
2,9.999999747378752e-05,0.18222032487392426,0.18222032487392426,0.17787998914718628,0.1778801828622818
3,9.999999747378752e-05,0.1799485683441162,0.1799485683441162,0.17440001666545868,0.17434701323509216
4,9.999999747378752e-05,0.17898446321487427,0.17898446321487427,0.17516981065273285,0.1751881092786789
5,9.999999747378752e-05,0.17812025547027588,0.17812025547027588,0.17313727736473083,0.17314104735851288
6,9.999999747378752e-05,0.1776457279920578,0.1776457279920578,0.17338033020496368,0.17337661981582642
7,9.999999747378752e-05,0.17681562900543213,0.17681562900543213,0.1718973070383072,0.17187124490737915
8,9.999999747378752e-05,0.1764022260904312,0.1764022260904312,0.17206616699695587,0.17204637825489044
9,9.999999747378752e-05,0.17629577219486237,0.17629577219486237,0.1734076589345932,0.17335496842861176
10,9.999999747378752e-05,0.17590469121932983,0.17590469121932983,0.17082159221172333,0.17082452774047852
11,9.999999747378752e-05,0.17501552402973175,0.17501552402973175,0.17016862332820892,0.1701667606830597
12,9.999999747378752e-05,0.17425143718719482,0.17425143718719482,0.16973678767681122,0.16968519985675812
13,9.999999747378752e-05,0.17356108129024506,0.17356108129024506,0.16804103553295135,0.16804154217243195
14,9.999999747378752e-05,0.1727720946073532,0.1727720946073532,0.16680878400802612,0.1668161153793335
15,9.999999747378752e-05,0.17152322828769684,0.17152322828769684,0.16607752442359924,0.16602705419063568
16,9.999999747378752e-05,0.17052143812179565,0.17052143812179565,0.166174978017807,0.16615808010101318
17,9.999999747378752e-05,0.17022667825222015,0.17022667825222015,0.16465230286121368,0.16465915739536285
18,9.999999747378752e-05,0.16935695707798004,0.16935695707798004,0.16180217266082764,0.16178753972053528
19,9.999999747378752e-05,0.16909433901309967,0.16909433901309967,0.16305142641067505,0.16305753588676453
20,9.999999747378752e-05,0.16817884147167206,0.16817884147167206,0.16177742183208466,0.16176138818264008
21,9.999999747378752e-05,0.16742809116840363,0.16742809116840363,0.16091863811016083,0.16090574860572815
22,9.999999747378752e-05,0.16757598519325256,0.16757598519325256,0.16172920167446136,0.16173166036605835
23,9.999999747378752e-05,0.16656795144081116,0.16656795144081116,0.15915539860725403,0.15915991365909576
24,9.999999747378752e-05,0.16580098867416382,0.16580098867416382,0.15822303295135498,0.1582343429327011
25,9.999999747378752e-05,0.16573001444339752,0.16573001444339752,0.1598276048898697,0.15977902710437775
26,9.999999747378752e-05,0.16552311182022095,0.16552311182022095,0.15812771022319794,0.15807965397834778
27,9.999999747378752e-05,0.1653980016708374,0.1653980016708374,0.16212154924869537,0.1621280163526535
28,9.999999747378752e-05,0.16510109603405,0.16510109603405,0.15847192704677582,0.1584237664937973
29,9.999999747378752e-05,0.16393858194351196,0.16393858194351196,0.15838037431240082,0.15840306878089905
30,9.999999747378752e-05,0.16376511752605438,0.16376511752605438,0.15709322690963745,0.15710468590259552
31,9.999999747378752e-05,0.16430558264255524,0.16430558264255524,0.15727119147777557,0.1572728157043457
32,9.999999747378752e-05,0.16413378715515137,0.16413378715515137,0.15622007846832275,0.15622803568840027
33,9.999999747378752e-05,0.16307057440280914,0.16307057440280914,0.15699422359466553,0.15700016915798187
34,9.999999747378752e-05,0.16267907619476318,0.16267907619476318,0.15454865992069244,0.15450169146060944
35,9.999999747378752e-05,0.16260771453380585,0.16260771453380585,0.1547437310218811,0.15469670295715332
36,9.999999747378752e-05,0.16258500516414642,0.16258500516414642,0.1560792475938797,0.15606164932250977
37,9.999999747378752e-05,0.16310611367225647,0.16310611367225647,0.1550493836402893,0.1550517976284027
38,9.999999747378752e-05,0.16194134950637817,0.16194134950637817,0.15500469505786896,0.1549575924873352
39,9.999999747378752e-05,0.16261814534664154,0.16261814534664154,0.1544509381055832,0.15445105731487274
40,9.999999747378752e-05,0.16138172149658203,0.16138172149658203,0.15352579951286316,0.15349943935871124
41,9.999999747378752e-05,0.16135308146476746,0.16135308146476746,0.1531345546245575,0.1531158983707428
42,9.999999747378752e-05,0.16114355623722076,0.16114355623722076,0.152857705950737,0.1528395265340805
43,9.999999747378752e-05,0.16058020293712616,0.16058020293712616,0.1521570086479187,0.1521107703447342
44,9.999999747378752e-05,0.16051700711250305,0.16051700711250305,0.15294769406318665,0.1529436707496643
45,9.999999747378752e-05,0.1597975641489029,0.1597975641489029,0.15218637883663177,0.1522199660539627
46,9.999999747378752e-05,0.15998180210590363,0.15998180210590363,0.1508680135011673,0.1508798748254776
47,9.999999747378752e-05,0.1594277322292328,0.1594277322292328,0.15056386590003967,0.15059709548950195
48,9.999999747378752e-05,0.16020072996616364,0.16020072996616364,0.1516258716583252,0.15161855518817902
49,9.999999747378752e-05,0.15947645902633667,0.15947645902633667,0.151775062084198,0.15177801251411438
50,9.999999747378752e-05,0.15847094357013702,0.15847094357013702,0.15071986615657806,0.1506933569908142
51,9.999999747378752e-05,0.1581009030342102,0.1581009030342102,0.15068036317825317,0.15063457190990448
52,9.999999747378752e-05,0.1580188125371933,0.1580188125371933,0.14975939691066742,0.1497737318277359
53,9.999999747378752e-05,0.1578061431646347,0.1578061431646347,0.15039213001728058,0.15034641325473785
54,9.999999747378752e-05,0.1579335629940033,0.1579335629940033,0.1511836051940918,0.15117081999778748
55,9.999999747378752e-05,0.15725749731063843,0.15725749731063843,0.14880670607089996,0.14876148104667664
56,9.999999747378752e-05,0.15636666119098663,0.15636666119098663,0.14861665666103363,0.14862693846225739
57,9.999999747378752e-05,0.15630048513412476,0.15630048513412476,0.14763586223125458,0.14763039350509644
58,9.999999747378752e-05,0.15697821974754333,0.15697821974754333,0.14840173721313477,0.14841429889202118
59,9.999999747378752e-05,0.15671999752521515,0.15671999752521515,0.1477537453174591,0.14774683117866516
60,9.999999747378752e-05,0.15610572695732117,0.15610572695732117,0.14872173964977264,0.14871148765087128
61,9.999999747378752e-05,0.15620902180671692,0.15620902180671692,0.14606936275959015,0.14607200026512146
62,9.999999747378752e-05,0.1560484915971756,0.1560484915971756,0.14838725328445435,0.14839649200439453
63,9.999999747378752e-05,0.15586097538471222,0.15586097538471222,0.14649485051631927,0.14647899568080902
64,9.999999747378752e-05,0.15554501116275787,0.15554501116275787,0.14646923542022705,0.14642472565174103
65,9.999999747378752e-05,0.1546093076467514,0.1546093076467514,0.14696119725704193,0.14691653847694397
66,9.999999747378752e-05,0.15467451512813568,0.15467451512813568,0.14560456573963165,0.14561966061592102
67,9.999999747378752e-05,0.1553352177143097,0.1553352177143097,0.14523112773895264,0.14524270594120026
68,9.999999747378752e-05,0.15501131117343903,0.15501131117343903,0.14460185170173645,0.1446169912815094
69,9.999999747378752e-05,0.15432076156139374,0.15432076156139374,0.14463838934898376,0.1445944458246231
70,9.999999747378752e-05,0.15444354712963104,0.15444354712963104,0.14726470410823822,0.14723478257656097
71,9.999999747378752e-05,0.1541854739189148,0.1541854739189148,0.1468927264213562,0.14688439667224884
72,9.999999747378752e-05,0.15401093661785126,0.15401093661785126,0.1462451070547104,0.14623023569583893
73,9.999999747378752e-05,0.15456363558769226,0.15456363558769226,0.14629057049751282,0.14630229771137238
74,9.999999747378752e-05,0.15383240580558777,0.15383240580558777,0.14582706987857819,0.14578275382518768
75,9.999999747378752e-05,0.15381403267383575,0.15381403267383575,0.14708174765110016,0.1470966786146164
76,9.999999747378752e-05,0.15292507410049438,0.15292507410049438,0.14666847884655,0.1466827094554901
77,9.999999747378752e-05,0.15299122035503387,0.15299122035503387,0.14597570896148682,0.14598976075649261
78,9.999999747378752e-05,0.15395264327526093,0.15395264327526093,0.14426285028457642,0.1442842185497284
79,9.999999747378752e-05,0.15372180938720703,0.15372180938720703,0.14680500328540802,0.1468183845281601
80,9.999999747378752e-05,0.1528824269771576,0.1528824269771576,0.145820751786232,0.14577645063400269
81,9.999999747378752e-05,0.15333983302116394,0.15333983302116394,0.14472900331020355,0.14474241435527802
82,9.999999747378752e-05,0.15198436379432678,0.15198436379432678,0.14578905701637268,0.14574474096298218
83,9.999999747378752e-05,0.15301330387592316,0.15301330387592316,0.14666563272476196,0.14662104845046997
84,9.999999747378752e-05,0.15237228572368622,0.15237228572368622,0.14685364067554474,0.14685708284378052
85,9.999999747378752e-05,0.15211153030395508,0.15211153030395508,0.1459885686635971,0.14599795639514923
86,9.999999747378752e-05,0.1523694097995758,0.1523694097995758,0.14389163255691528,0.14388541877269745
87,9.999999747378752e-05,0.1521334946155548,0.1521334946155548,0.14482557773590088,0.14480796456336975
88,9.999999747378752e-05,0.1520485281944275,0.1520485281944275,0.1439012885093689,0.14391015470027924
89,9.999999747378752e-05,0.15251943469047546,0.15251943469047546,0.1439499408006668,0.14396657049655914
90,9.999999747378752e-05,0.15193507075309753,0.15193507075309753,0.14200690388679504,0.1420089155435562
91,9.999999747378752e-05,0.15244364738464355,0.15244364738464355,0.1425907164812088,0.14258486032485962
92,9.999999747378752e-05,0.15176250040531158,0.15176250040531158,0.1430697739124298,0.14302630722522736
93,9.999999747378752e-05,0.15210308134555817,0.15210308134555817,0.14296859502792358,0.1429857313632965
94,9.999999747378752e-05,0.1520969569683075,0.1520969569683075,0.1474294513463974,0.14741669595241547
95,9.999999747378752e-05,0.15130658447742462,0.15130658447742462,0.14310306310653687,0.14310391247272491
96,9.999999747378752e-05,0.15189990401268005,0.15189990401268005,0.14474427700042725,0.144700288772583
97,9.999999747378752e-05,0.1518346667289734,0.1518346667289734,0.14440658688545227,0.14442290365695953
98,9.999999747378752e-05,0.15118488669395447,0.15118488669395447,0.14210322499275208,0.14211584627628326
99,9.999999747378752e-05,0.1518547385931015,0.1518547385931015,0.14236897230148315,0.14238621294498444
100,9.999999747378752e-05,0.1514447033405304,0.1514447033405304,0.14287139475345612,0.1428874433040619
101,9.999999747378752e-05,0.15135306119918823,0.15135306119918823,0.1415552943944931,0.14155049622058868
102,9.999999747378752e-05,0.15118014812469482,0.15118014812469482,0.1437138468027115,0.1437264233827591
103,9.999999747378752e-05,0.15148642659187317,0.15148642659187317,0.1422126591205597,0.14216943085193634
